Loading norms and the citation graph...
  960 eligible norms (deontic in {'COMPETENCE', 'OBLIGATION', 'PROHIBITION'}, addressee_type known)
  embedding 960 norms for semantic candidate matching (model: text-embedding-3-small, top-8)...
  5649 semantic-similarity index pair(s) found
  3023 candidate pair(s) after addressee_type gate + (graph adjacency OR trigger-keyword match OR semantic similarity)
  1 resolved deterministically (no AI needed), 3022 need AI adjudication (duty_conflict/deontic_polarity_conflict)
  BWBR0040940 art.19 <-> BWBR0051796 art.7 -- competence_competition [High]
  [676/3022] BWBR0052872 art.32 <-> BWBR0048156 art.17 -- NOT_A_CONFLICT
  [677/3022] BWBR0052872 art.32 <-> BWBR0048156 art.17 -- NOT_A_CONFLICT
  [678/3022] BWBR0052872 art.32 <-> BWBR0048156 art.22d -- NOT_A_CONFLICT
  [679/3022] BWBR0052872 art.32 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [680/3022] BWBR0052872 art.32 <-> BWBR0048156 art.17 -- NOT_A_CONFLICT
  [681/3022] BWBR0052872 art.32 <-> 32022L2555 art.2 -- NOT_A_CONFLICT
  [682/3022] BWBR0052872 art.33 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [683/3022] BWBR0052872 art.33 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [684/3022] BWBR0052872 art.33 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [685/3022] BWBR0052872 art.33 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [686/3022] BWBR0052872 art.33 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [687/3022] BWBR0052872 art.32 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [688/3022] BWBR0052872 art.33 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [689/3022] BWBR0052872 art.33 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [690/3022] BWBR0052872 art.33 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [691/3022] BWBR0052872 art.33 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [692/3022] BWBR0052872 art.33 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [693/3022] BWBR0052872 art.33 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [694/3022] BWBR0052872 art.33 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [695/3022] BWBR0052872 art.33 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [696/3022] BWBR0052872 art.33 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [697/3022] BWBR0052872 art.33 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [698/3022] BWBR0052872 art.33 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [699/3022] BWBR0052872 art.33 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [700/3022] BWBR0052872 art.33 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [701/3022] BWBR0052872 art.34 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [702/3022] BWBR0052872 art.33 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [703/3022] BWBR0052872 art.34 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [704/3022] BWBR0052872 art.34 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [705/3022] BWBR0052872 art.34 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [706/3022] BWBR0052872 art.34 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [707/3022] BWBR0052872 art.34 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [708/3022] BWBR0052872 art.34 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [709/3022] BWBR0052872 art.33 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [710/3022] BWBR0052872 art.34 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [711/3022] BWBR0052872 art.34 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [712/3022] BWBR0052872 art.34 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [713/3022] BWBR0052872 art.34 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [714/3022] BWBR0052872 art.34 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [715/3022] BWBR0052872 art.34 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [716/3022] BWBR0052872 art.34 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [717/3022] BWBR0052872 art.34 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [718/3022] BWBR0052872 art.34 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [719/3022] BWBR0052872 art.34 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [720/3022] BWBR0052872 art.34 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [721/3022] BWBR0052872 art.35 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [722/3022] BWBR0052872 art.35 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [723/3022] BWBR0052872 art.35 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [724/3022] BWBR0052872 art.35 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [725/3022] BWBR0052872 art.34 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [726/3022] BWBR0052872 art.35 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [727/3022] BWBR0052872 art.34 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [728/3022] BWBR0052872 art.35 <-> BWBR0009950 art.11.3a -- NOT_A_CONFLICT
  [729/3022] BWBR0052872 art.35 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [730/3022] BWBR0052872 art.35 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [731/3022] BWBR0052872 art.35 <-> BWBR0009950 art.11.7a -- NOT_A_CONFLICT
  [732/3022] BWBR0052872 art.35 <-> BWBR0009950 art.11.11 -- NOT_A_CONFLICT
  [733/3022] BWBR0052872 art.35 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [734/3022] BWBR0052872 art.35 <-> BWBR0009950 art.11.10 -- NOT_A_CONFLICT
  [735/3022] BWBR0052872 art.35 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [736/3022] BWBR0052872 art.35 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [737/3022] BWBR0052872 art.35 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [738/3022] BWBR0052872 art.35 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [739/3022] BWBR0052872 art.35 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [740/3022] BWBR0052872 art.35 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [741/3022] BWBR0052872 art.35 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [742/3022] BWBR0052872 art.35 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [743/3022] BWBR0052872 art.35 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [744/3022] BWBR0052872 art.35 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [745/3022] BWBR0052872 art.35 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [746/3022] BWBR0052872 art.35 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [747/3022] BWBR0052872 art.35 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [748/3022] BWBR0052872 art.35 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [749/3022] BWBR0052872 art.35 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [750/3022] BWBR0052872 art.35 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [751/3022] BWBR0052872 art.35 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [752/3022] BWBR0052872 art.35 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [753/3022] BWBR0052872 art.35 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [754/3022] BWBR0052872 art.35 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [755/3022] BWBR0052872 art.35 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [756/3022] BWBR0052872 art.36 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [757/3022] BWBR0052872 art.36 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [758/3022] BWBR0052872 art.36 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [759/3022] BWBR0052872 art.36 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [760/3022] BWBR0052872 art.36 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [761/3022] BWBR0052872 art.35 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [762/3022] BWBR0052872 art.36 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [763/3022] BWBR0052872 art.36 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [764/3022] BWBR0052872 art.36 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [765/3022] BWBR0052872 art.36 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [766/3022] BWBR0052872 art.36 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [767/3022] BWBR0052872 art.36 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [768/3022] BWBR0052872 art.36 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [769/3022] BWBR0052872 art.36 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [770/3022] BWBR0052872 art.36 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [771/3022] BWBR0052872 art.36 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [772/3022] BWBR0052872 art.36 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [773/3022] BWBR0052872 art.36 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [774/3022] BWBR0052872 art.36 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [775/3022] BWBR0052872 art.36 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [776/3022] BWBR0052872 art.36 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [777/3022] BWBR0052872 art.36 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [778/3022] BWBR0052872 art.36 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [779/3022] BWBR0052872 art.36 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [780/3022] BWBR0052872 art.36 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [781/3022] BWBR0052872 art.36 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [782/3022] BWBR0052872 art.36 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [783/3022] BWBR0052872 art.36 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [784/3022] BWBR0052872 art.36 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [785/3022] BWBR0052872 art.36 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [786/3022] BWBR0052872 art.36 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [787/3022] BWBR0052872 art.36 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [788/3022] BWBR0052872 art.36 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [789/3022] BWBR0052872 art.36 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [790/3022] BWBR0052872 art.36 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [791/3022] BWBR0052872 art.36 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [792/3022] BWBR0052872 art.36 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [793/3022] BWBR0052872 art.36 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [794/3022] BWBR0052872 art.36 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [795/3022] BWBR0052872 art.36 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [796/3022] BWBR0052872 art.36 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [797/3022] BWBR0052872 art.36 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [798/3022] BWBR0052872 art.37 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [799/3022] BWBR0052872 art.37 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [800/3022] BWBR0052872 art.37 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [801/3022] BWBR0052872 art.37 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [802/3022] BWBR0052872 art.37 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [803/3022] BWBR0052872 art.37 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [804/3022] BWBR0052872 art.37 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [805/3022] BWBR0052872 art.37 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [806/3022] BWBR0052872 art.37 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [807/3022] BWBR0052872 art.37 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [808/3022] BWBR0052872 art.37 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [809/3022] BWBR0052872 art.37 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [810/3022] BWBR0052872 art.37 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [811/3022] BWBR0052872 art.37 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [812/3022] BWBR0052872 art.37 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [813/3022] BWBR0052872 art.37 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [814/3022] BWBR0052872 art.37 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [815/3022] BWBR0052872 art.37 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [816/3022] BWBR0052872 art.37 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [817/3022] BWBR0052872 art.37 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [818/3022] BWBR0052872 art.38 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [819/3022] BWBR0052872 art.38 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [820/3022] BWBR0052872 art.38 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [821/3022] BWBR0052872 art.38 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [822/3022] BWBR0052872 art.38 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [823/3022] BWBR0052872 art.38 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [824/3022] BWBR0052872 art.38 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [825/3022] BWBR0052872 art.38 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [826/3022] BWBR0052872 art.38 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [827/3022] BWBR0052872 art.38 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [828/3022] BWBR0052872 art.38 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [829/3022] BWBR0052872 art.38 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [830/3022] BWBR0052872 art.38 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [831/3022] BWBR0052872 art.38 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [832/3022] BWBR0052872 art.38 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [833/3022] BWBR0052872 art.38 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [834/3022] BWBR0052872 art.38 <-> 32024R1689 art.70 -- NOT_A_CONFLICT
  [835/3022] BWBR0052872 art.38 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [836/3022] BWBR0052872 art.38 <-> 32022R2554 art.54 -- NOT_A_CONFLICT
  [837/3022] BWBR0052872 art.38 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [838/3022] BWBR0052872 art.38 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [839/3022] BWBR0052872 art.38 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [840/3022] BWBR0052872 art.39 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [841/3022] BWBR0052872 art.39 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [842/3022] BWBR0052872 art.39 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [843/3022] BWBR0052872 art.38 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [844/3022] BWBR0052872 art.39 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [845/3022] BWBR0052872 art.39 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [846/3022] BWBR0052872 art.39 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [847/3022] BWBR0052872 art.39 <-> 32022L2555 art.13 -- NOT_A_CONFLICT
  [848/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [849/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [850/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [851/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [852/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [853/3022] BWBR0052872 art.39 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [854/3022] BWBR0052872 art.39 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [855/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [856/3022] BWBR0052872 art.39 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [857/3022] BWBR0052872 art.39 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [858/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [859/3022] BWBR0052872 art.39 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [860/3022] BWBR0052872 art.39 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [861/3022] BWBR0052872 art.39 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [862/3022] BWBR0052872 art.39 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [863/3022] BWBR0052872 art.39 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [864/3022] BWBR0052872 art.39 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [865/3022] BWBR0052872 art.39 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [866/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [867/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [868/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [869/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [870/3022] BWBR0052872 art.39 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [871/3022] BWBR0052872 art.39 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [872/3022] BWBR0052872 art.39 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [873/3022] BWBR0052872 art.39 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [874/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [875/3022] BWBR0052872 art.39 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [876/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [877/3022] BWBR0052872 art.39 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [878/3022] BWBR0052872 art.39 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [879/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [880/3022] BWBR0052872 art.39 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [881/3022] BWBR0052872 art.39 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [882/3022] BWBR0052872 art.39 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [883/3022] BWBR0052872 art.39 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [884/3022] BWBR0052872 art.39 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [885/3022] BWBR0052872 art.39 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [886/3022] BWBR0052872 art.39 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [887/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [888/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [889/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [890/3022] BWBR0052872 art.39 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [891/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [892/3022] BWBR0052872 art.39 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [893/3022] BWBR0052872 art.39 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [894/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [895/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [896/3022] BWBR0052872 art.39 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [897/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [898/3022] BWBR0052872 art.39 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [899/3022] BWBR0052872 art.39 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [900/3022] BWBR0052872 art.39 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [901/3022] BWBR0052872 art.39 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [902/3022] BWBR0052872 art.39 <-> 32022L2555 art.18 -- NOT_A_CONFLICT
  [903/3022] BWBR0052872 art.39 <-> 32022R2554 art.54 -- NOT_A_CONFLICT
  [904/3022] BWBR0052872 art.39 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [905/3022] BWBR0052872 art.39 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [906/3022] BWBR0052872 art.39 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [907/3022] BWBR0052872 art.39 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [908/3022] BWBR0052872 art.39 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [909/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [910/3022] BWBR0052872 art.39 <-> 32022L2555 art.8 -- NOT_A_CONFLICT
  [911/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [912/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [913/3022] BWBR0052872 art.39 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [914/3022] BWBR0052872 art.39 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [915/3022] BWBR0052872 art.39 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [916/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [917/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [918/3022] BWBR0052872 art.39 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [919/3022] BWBR0052872 art.39 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [920/3022] BWBR0052872 art.39 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [921/3022] BWBR0052872 art.39 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [922/3022] BWBR0052872 art.39 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [923/3022] BWBR0052872 art.39 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [924/3022] BWBR0052872 art.40 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [925/3022] BWBR0052872 art.40 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [926/3022] BWBR0052872 art.40 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [927/3022] BWBR0052872 art.40 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [928/3022] BWBR0052872 art.40 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [929/3022] BWBR0052872 art.40 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [930/3022] BWBR0052872 art.39 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [931/3022] BWBR0052872 art.40 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [932/3022] BWBR0052872 art.40 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [933/3022] BWBR0052872 art.40 <-> 32022L2555 art.31 -- NOT_A_CONFLICT
  [934/3022] BWBR0052872 art.40 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [935/3022] BWBR0052872 art.40 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [936/3022] BWBR0052872 art.40 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [937/3022] BWBR0052872 art.40 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [938/3022] BWBR0052872 art.40 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [939/3022] BWBR0052872 art.40 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [940/3022] BWBR0052872 art.40 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [941/3022] BWBR0052872 art.40 <-> 32024R1689 art.37 -- NOT_A_CONFLICT
  [942/3022] BWBR0052872 art.40 <-> 32024R1689 art.73 -- NOT_A_CONFLICT
  [943/3022] BWBR0052872 art.40 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [944/3022] BWBR0052872 art.40 <-> 32024R1689 art.76 -- NOT_A_CONFLICT
  [945/3022] BWBR0052872 art.40 <-> 32016R0679 art.34 -- NOT_A_CONFLICT
  [946/3022] BWBR0052872 art.40 <-> 32016R0679 art.56 -- NOT_A_CONFLICT
  [947/3022] BWBR0052872 art.40 <-> BWBR0048156 art.19 -- NOT_A_CONFLICT
  [948/3022] BWBR0052872 art.40 <-> 32016R0679 art.83 -- NOT_A_CONFLICT
  [949/3022] BWBR0052872 art.40 <-> 32016R0679 art.58 -- NOT_A_CONFLICT
  [950/3022] BWBR0052872 art.40 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [951/3022] BWBR0052872 art.40 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [952/3022] BWBR0052872 art.40 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [953/3022] BWBR0052872 art.40 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [954/3022] BWBR0052872 art.40 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [955/3022] BWBR0052872 art.40 <-> 32022L2555 art.35 -- NOT_A_CONFLICT
  [956/3022] BWBR0052872 art.40 <-> 32022L2555 art.23 -- NOT_A_CONFLICT
  [957/3022] BWBR0052872 art.40 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
  [958/3022] BWBR0052872 art.40 <-> 32024R1689 art.28 -- NOT_A_CONFLICT
  [959/3022] BWBR0052872 art.40 <-> 32024R1689 art.30 -- NOT_A_CONFLICT
  [960/3022] BWBR0052872 art.40 <-> 32022R2554 art.19 -- NOT_A_CONFLICT
